Clase,Pieza,Superficie_1,Superficie_2,Superficie_3,Superficie_4,Superficie_5,Tamanio_cavidad_mm,Estado_cavidad,Tecnica,Tipo_resina,Indice_contraccion_%,Peso_resina_inicial_mg,Peso_sobrante_mg,Margen_cavo_mm,Ajuste_margen
III,23,Distal,Lingual,ninguna,ninguna,ninguna,10.0,con_tejido,Estratificacion,Con fibra de vidrio,2.5,101.0,8.21,-0.08,Subobturado
I,7,Bucal,ninguna,ninguna,ninguna,ninguna,2.0,con_tejido,Bulk,Bulk,1.25,33.75,5.14,-0.02,Subobturado
II,28,Mesial,Oclusal,ninguna,ninguna,ninguna,39.5,limpia,Bulk,Bulk,1.75,107.6,16.16,0.04,Equiobturado
I,8,Lingual,ninguna,ninguna,ninguna,ninguna,3.75,con_tejido,Estratificacion,Con fibra de vidrio,1.5,73.12,11.65,-0.06,Subobturado
V,4,Lingual,ninguna,ninguna,ninguna,ninguna,19.25,limpia,Bulk,Fluida,3.25,295.16,50.3,0.06,Equiobturado
I,20,Oclusal,ninguna,ninguna,ninguna,ninguna,10.0,con_tejido,Bulk,Bulk,3.75,220.75,11.34,0.12,Sobreobturado
III,22,Distal,Lingual,ninguna,ninguna,ninguna,14.0,con_tejido,Bulk,Bulk,2.75,142.25,4.61,-0.18,Subobturado
I,8,Bucal,ninguna,ninguna,ninguna,ninguna,4.5,con_tejido,Estratificacion,Compuesta,1.75,95.0,4.27,0.12,Sobreobturado
V,2,Lingual,ninguna,ninguna,ninguna,ninguna,17.25,con_tejido,Estratificacion,Fluida,1.5,107.72,7.88,0.19,Sobreobturado
II,30,Mesial,Oclusal,Lingual,ninguna,ninguna,43.75,limpia,Bulk,Bulk,2.0,333.12,51.4,-0.06,Subobturado
V,10,Bucal,ninguna,ninguna,ninguna,ninguna,10.75,con_tejido,Bulk,Compuesta,1.25,96.09,8.19,0.13,Sobreobturado
V,7,Bucal,ninguna,ninguna,ninguna,ninguna,14.0,con_tejido,Bulk,Con fibra de vidrio,2.75,220.0,34.62,0.08,Equiobturado
II,2,Distal,Oclusal,Bucal,ninguna,ninguna,46.25,con_tejido,Bulk,Fluida,3.5,446.88,33.29,-0.1,Subobturado
II,20,Distal,Oclusal,ninguna,ninguna,ninguna,42.0,con_tejido,Bulk,Con fibra de vidrio,3.5,173.6,25.29,0.03,Equiobturado
II,30,Mesial,Distal,Oclusal,Lingual,ninguna,115.25,con_tejido,Bulk,Compuesta,2.0,821.0,52.29,-0.19,Subobturado
V,14,Bucal,ninguna,ninguna,ninguna,ninguna,43.0,limpia,Estratificacion,Compuesta,3.0,313.39,38.62,-0.03,Subobturado
III,22,Mesial,Lingual,ninguna,ninguna,ninguna,12.5,limpia,Bulk,Con fibra de vidrio,2.25,113.38,10.65,0.17,Sobreobturado
I,2,Oclusal,ninguna,ninguna,ninguna,ninguna,14.5,limpia,Estratificacion,Con fibra de vidrio,3.25,327.68,33.16,0.03,Equiobturado
I,26,Bucal,ninguna,ninguna,ninguna,ninguna,3.0,con_tejido,Bulk,Compuesta,4.0,147.5,17.32,0.15,Sobreobturado
I,18,Oclusal,ninguna,ninguna,ninguna,ninguna,7.25,limpia,Estratificacion,Compuesta,2.5,193.75,22.91,0.16,Sobreobturado
I,24,Bucal,ninguna,ninguna,ninguna,ninguna,3.75,limpia,Bulk,Con fibra de vidrio,1.0,55.62,5.94,-0.02,Subobturado
V,25,Lingual,ninguna,ninguna,ninguna,ninguna,13.5,limpia,Bulk,Con fibra de vidrio,1.5,134.69,8.84,0.02,Equiobturado
I,31,Lingual,ninguna,ninguna,ninguna,ninguna,3.5,con_tejido,Bulk,Con fibra de vidrio,3.0,191.07,29.0,-0.13,Subobturado
V,18,Lingual,ninguna,ninguna,ninguna,ninguna,50.75,con_tejido,Estratificacion,Con fibra de vidrio,2.25,273.17,43.54,0.12,Sobreobturado
I,31,Bucal,ninguna,ninguna,ninguna,ninguna,12.5,con_tejido,Estratificacion,Con fibra de vidrio,2.75,268.75,11.34,0.05,Equiobturado
V,11,Bucal,ninguna,ninguna,ninguna,ninguna,10.5,con_tejido,Estratificacion,Compuesta,2.5,175.31,19.56,-0.09,Subobturado
I,17,Lingual,ninguna,ninguna,ninguna,ninguna,2.25,con_tejido,Bulk,Fluida,2.5,81.88,8.0,-0.16,Subobturado
III,8,Distal,Lingual,ninguna,ninguna,ninguna,14.5,con_tejido,Estratificacion,Compuesta,2.5,138.12,13.15,0.13,Sobreobturado
V,21,Lingual,ninguna,ninguna,ninguna,ninguna,6.5,limpia,Bulk,Compuesta,3.75,224.06,15.75,0.08,Equiobturado
I,29,Oclusal,ninguna,ninguna,ninguna,ninguna,5.5,con_tejido,Estratificacion,Compuesta,2.25,112.75,14.89,-0.12,Subobturado
II,19,Distal,Oclusal,Lingual,ninguna,ninguna,64.0,con_tejido,Estratificacion,Con fibra de vidrio,1.5,369.0,23.43,-0.09,Subobturado
II,30,Distal,Oclusal,Bucal,ninguna,ninguna,55.5,con_tejido,Bulk,Compuesta,1.5,339.25,13.22,0.14,Sobreobturado
II,29,Distal,Oclusal,Lingual,ninguna,ninguna,31.5,con_tejido,Bulk,Bulk,1.25,91.21,15.83,-0.2,Subobturado
I,7,Oclusal,ninguna,ninguna,ninguna,ninguna,5.5,con_tejido,Bulk,Compuesta,2.25,130.0,17.32,0.13,Sobreobturado
II,32,Distal,Oclusal,ninguna,ninguna,ninguna,38.5,limpia,Bulk,Con fibra de vidrio,3.25,205.92,32.84,0.04,Equiobturado
II,2,Mesial,Distal,Oclusal,ninguna,ninguna,40.75,con_tejido,Bulk,Bulk,3.5,427.62,35.11,-0.19,Subobturado
III,6,Distal,Lingual,ninguna,ninguna,ninguna,10.5,limpia,Bulk,Fluida,3.25,129.88,15.3,0.12,Sobreobturado
II,18,Distal,Oclusal,Lingual,ninguna,ninguna,77.25,limpia,Estratificacion,Con fibra de vidrio,2.0,450.38,47.19,0.05,Equiobturado
V,5,Bucal,ninguna,ninguna,ninguna,ninguna,19.5,con_tejido,Estratificacion,Bulk,3.5,313.44,49.85,-0.13,Subobturado
II,2,Distal,Oclusal,ninguna,ninguna,ninguna,56.5,limpia,Estratificacion,Bulk,3.5,324.5,43.25,0.11,Sobreobturado
II,17,Mesial,Oclusal,ninguna,ninguna,ninguna,34.0,con_tejido,Bulk,Bulk,3.25,191.79,19.35,0.13,Sobreobturado
V,30,Bucal,ninguna,ninguna,ninguna,ninguna,29.0,con_tejido,Bulk,Compuesta,2.25,207.14,31.8,0.01,Equiobturado
II,12,Mesial,Oclusal,Bucal,ninguna,ninguna,44.0,con_tejido,Bulk,Bulk,3.25,310.21,44.55,-0.03,Subobturado
II,32,Mesial,Distal,Oclusal,ninguna,ninguna,38.0,con_tejido,Estratificacion,Fluida,2.25,254.56,18.97,0.19,Sobreobturado
I,21,Lingual,ninguna,ninguna,ninguna,ninguna,11.5,limpia,Estratificacion,Bulk,1.75,144.25,20.7,-0.01,Subobturado
II,19,Mesial,Oclusal,ninguna,ninguna,ninguna,43.25,con_tejido,Bulk,Fluida,2.25,247.25,22.32,0.11,Sobreobturado
I,11,Bucal,ninguna,ninguna,ninguna,ninguna,2.0,con_tejido,Bulk,Fluida,1.0,25.0,1.04,0.19,Sobreobturado
III,24,Mesial,Lingual,ninguna,ninguna,ninguna,12.75,limpia,Estratificacion,Con fibra de vidrio,3.5,156.69,8.02,0.06,Equiobturado
II,4,Distal,Oclusal,Lingual,ninguna,ninguna,39.5,limpia,Bulk,Bulk,2.75,247.43,26.75,0.07,Equiobturado
I,13,Oclusal,ninguna,ninguna,ninguna,ninguna,3.75,limpia,Estratificacion,Fluida,1.25,52.0,5.72,0.17,Sobreobturado
IV,27,Distal,Bucal,Lingual,ninguna,ninguna,13.25,con_tejido,Bulk,Bulk,3.75,258.0,24.63,0.01,Equiobturado
II,4,Distal,Oclusal,Bucal,ninguna,ninguna,49.5,con_tejido,Bulk,Bulk,1.0,178.08,21.06,0.18,Sobreobturado
I,18,Lingual,ninguna,ninguna,ninguna,ninguna,15.25,con_tejido,Bulk,Bulk,2.25,260.71,22.65,-0.13,Subobturado
II,31,Mesial,Distal,Oclusal,Bucal,Lingual,139.5,limpia,Bulk,Bulk,2.25,1122.78,71.92,-0.09,Subobturado
II,18,Mesial,Oclusal,Bucal,ninguna,ninguna,67.25,limpia,Estratificacion,Bulk,3.0,485.38,73.35,0.15,Sobreobturado
II,14,Distal,Oclusal,Bucal,ninguna,ninguna,73.5,limpia,Bulk,Compuesta,2.75,489.75,71.89,-0.14,Subobturado
I,5,Lingual,ninguna,ninguna,ninguna,ninguna,4.5,con_tejido,Bulk,Bulk,4.0,182.5,20.29,0.13,Sobreobturado
III,10,Distal,Lingual,ninguna,ninguna,ninguna,12.5,con_tejido,Estratificacion,Con fibra de vidrio,3.5,154.62,15.84,0.19,Sobreobturado
II,30,Mesial,Distal,Oclusal,ninguna,ninguna,70.0,limpia,Bulk,Compuesta,2.75,477.5,73.87,0.09,Equiobturado
II,14,Distal,Oclusal,ninguna,ninguna,ninguna,56.25,limpia,Bulk,Con fibra de vidrio,1.0,248.75,40.08,-0.03,Subobturado
II,18,Mesial,Distal,Oclusal,ninguna,ninguna,46.75,con_tejido,Estratificacion,Con fibra de vidrio,1.25,291.12,21.35,-0.19,Subobturado
II,3,Mesial,Distal,Oclusal,Lingual,ninguna,119.25,limpia,Estratificacion,Bulk,2.75,897.0,74.96,-0.09,Subobturado
V,7,Bucal,ninguna,ninguna,ninguna,ninguna,7.25,limpia,Bulk,Bulk,2.0,116.41,19.86,0.19,Sobreobturado
III,9,Distal,Lingual,ninguna,ninguna,ninguna,9.25,con_tejido,Bulk,Compuesta,3.25,119.56,16.18,0.03,Equiobturado
II,20,Mesial,Oclusal,Lingual,ninguna,ninguna,33.25,con_tejido,Bulk,Con fibra de vidrio,3.25,247.43,26.95,0.01,Equiobturado
VI,10,Incisal,ninguna,ninguna,ninguna,ninguna,24.0,limpia,Bulk,Compuesta,1.5,157.72,13.2,0.16,Sobreobturado
II,18,Mesial,Oclusal,ninguna,ninguna,ninguna,45.5,limpia,Bulk,Compuesta,2.0,246.5,42.3,0.03,Equiobturado
IV,7,Distal,Bucal,Lingual,ninguna,ninguna,23.0,con_tejido,Bulk,Bulk,2.0,166.71,15.4,-0.1,Subobturado
II,19,Distal,Oclusal,Lingual,ninguna,ninguna,55.75,con_tejido,Estratificacion,Bulk,2.75,427.62,66.06,0.05,Equiobturado
II,18,Mesial,Distal,Oclusal,ninguna,ninguna,68.75,con_tejido,Bulk,Compuesta,3.0,490.62,58.46,-0.03,Subobturado
II,18,Mesial,Oclusal,Lingual,ninguna,ninguna,49.75,limpia,Bulk,Con fibra de vidrio,3.25,441.62,41.03,0.2,Sobreobturado
V,4,Bucal,ninguna,ninguna,ninguna,ninguna,16.25,con_tejido,Estratificacion,Bulk,2.0,189.53,19.68,0.15,Sobreobturado
II,12,Mesial,Oclusal,Bucal,ninguna,ninguna,40.5,con_tejido,Estratificacion,Fluida,2.0,198.52,26.19,-0.03,Subobturado
III,27,Mesial,Lingual,ninguna,ninguna,ninguna,9.5,limpia,Estratificacion,Fluida,3.0,113.38,14.84,0.15,Sobreobturado
II,14,Distal,Oclusal,ninguna,ninguna,ninguna,56.0,limpia,Bulk,Fluida,4.0,338.0,15.53,0.03,Equiobturado
VI,22,Incisal,ninguna,ninguna,ninguna,ninguna,4.5,con_tejido,Estratificacion,Fluida,2.25,105.71,11.24,0.02,Equiobturado
I,14,Lingual,ninguna,ninguna,ninguna,ninguna,3.0,con_tejido,Bulk,Fluida,3.25,204.46,16.05,0.09,Equiobturado
II,31,Mesial,Oclusal,Lingual,ninguna,ninguna,48.75,limpia,Estratificacion,Bulk,1.5,315.62,22.52,0.04,Equiobturado
II,21,Mesial,Oclusal,Lingual,ninguna,ninguna,30.5,con_tejido,Estratificacion,Compuesta,1.0,67.12,9.32,0.09,Equiobturado
II,31,Distal,Oclusal,ninguna,ninguna,ninguna,48.25,limpia,Bulk,Con fibra de vidrio,2.5,269.75,34.62,0.14,Sobreobturado
II,19,Mesial,Oclusal,Bucal,ninguna,ninguna,77.5,limpia,Bulk,Fluida,2.5,486.25,73.97,0.16,Sobreobturado
II,18,Mesial,Distal,Oclusal,Lingual,ninguna,101.0,limpia,Estratificacion,Compuesta,1.75,744.0,99.19,0.04,Equiobturado
I,1,Oclusal,ninguna,ninguna,ninguna,ninguna,4.25,con_tejido,Bulk,Fluida,2.25,108.12,13.77,0.01,Equiobturado
II,15,Distal,Oclusal,Bucal,ninguna,ninguna,65.5,limpia,Estratificacion,Compuesta,1.25,356.75,19.07,0.01,Equiobturado
I,3,Oclusal,ninguna,ninguna,ninguna,ninguna,10.5,con_tejido,Estratificacion,Fluida,3.0,266.07,24.17,0.04,Equiobturado
II,15,Mesial,Oclusal,Lingual,ninguna,ninguna,65.75,limpia,Bulk,Compuesta,3.0,480.12,42.12,0.18,Sobreobturado
I,1,Oclusal,ninguna,ninguna,ninguna,ninguna,4.25,con_tejido,Bulk,Bulk,2.5,116.88,3.55,0.17,Sobreobturado
I,29,Bucal,ninguna,ninguna,ninguna,ninguna,8.0,limpia,Bulk,Bulk,3.75,202.75,12.8,0.18,Sobreobturado
II,4,Distal,Oclusal,Bucal,ninguna,ninguna,33.0,con_tejido,Bulk,Compuesta,3.0,227.72,20.57,-0.17,Subobturado
II,2,Mesial,Distal,Oclusal,Lingual,ninguna,116.25,limpia,Bulk,Fluida,2.5,865.0,73.4,0.13,Sobreobturado
I,22,Lingual,ninguna,ninguna,ninguna,ninguna,3.5,con_tejido,Estratificacion,Bulk,2.75,112.5,14.31,0.03,Equiobturado
V,10,Lingual,ninguna,ninguna,ninguna,ninguna,4.75,con_tejido,Estratificacion,Bulk,1.75,79.84,13.56,-0.03,Subobturado
II,13,Mesial,Oclusal,Lingual,ninguna,ninguna,28.25,limpia,Bulk,Con fibra de vidrio,1.75,108.73,3.63,0.12,Sobreobturado
I,28,Oclusal,ninguna,ninguna,ninguna,ninguna,11.75,con_tejido,Estratificacion,Compuesta,3.75,236.5,23.3,0.04,Equiobturado
II,20,Distal,Oclusal,Lingual,ninguna,ninguna,25.5,con_tejido,Bulk,Compuesta,2.0,110.92,10.58,0.18,Sobreobturado
II,2,Mesial,Distal,Oclusal,ninguna,ninguna,75.5,limpia,Estratificacion,Fluida,1.5,409.25,52.88,0.05,Equiobturado
II,2,Mesial,Oclusal,Lingual,ninguna,ninguna,68.75,limpia,Estratificacion,Bulk,4.0,560.62,23.71,0.06,Equiobturado
II,30,Mesial,Oclusal,ninguna,ninguna,ninguna,52.5,limpia,Bulk,Bulk,3.0,297.5,10.35,0.05,Equiobturado
II,30,Mesial,Distal,Oclusal,Bucal,Lingual,115.5,con_tejido,Bulk,Con fibra de vidrio,1.25,916.11,30.27,0.18,Sobreobturado
V,21,Lingual,ninguna,ninguna,ninguna,ninguna,11.75,con_tejido,Bulk,Compuesta,4.0,282.97,39.93,0.09,Equiobturado
II,1,Mesial,Oclusal,Bucal,ninguna,ninguna,41.75,con_tejido,Bulk,Bulk,1.25,199.9,16.16,-0.11,Subobturado
I,25,Oclusal,ninguna,ninguna,ninguna,ninguna,5.75,con_tejido,Estratificacion,Compuesta,2.25,134.38,23.52,0.07,Equiobturado
III,7,Mesial,Lingual,ninguna,ninguna,ninguna,14.0,con_tejido,Bulk,Compuesta,2.5,134.0,6.79,0.17,Sobreobturado
II,15,Distal,Oclusal,Bucal,ninguna,ninguna,62.75,con_tejido,Estratificacion,Bulk,2.75,452.12,53.48,0.14,Sobreobturado
II,18,Mesial,Oclusal,Bucal,ninguna,ninguna,47.0,limpia,Estratificacion,Fluida,3.0,414.5,19.77,0.12,Sobreobturado
II,21,Distal,Oclusal,ninguna,ninguna,ninguna,31.75,con_tejido,Estratificacion,Fluida,3.0,123.27,9.55,0.07,Equiobturado
II,30,Mesial,Distal,Oclusal,Bucal,Lingual,97.75,limpia,Bulk,Fluida,2.5,962.22,150.17,0.07,Equiobturado
III,7,Mesial,Lingual,ninguna,ninguna,ninguna,10.75,limpia,Estratificacion,Bulk,2.0,90.69,8.06,0.05,Equiobturado
II,16,Mesial,Oclusal,ninguna,ninguna,ninguna,45.5,limpia,Bulk,Fluida,3.5,235.75,9.14,-0.09,Subobturado
III,9,Distal,Lingual,ninguna,ninguna,ninguna,15.0,limpia,Estratificacion,Compuesta,2.25,134.0,6.38,0.2,Sobreobturado
II,21,Distal,Oclusal,Lingual,ninguna,ninguna,45.5,limpia,Estratificacion,Con fibra de vidrio,3.5,337.22,36.42,0.05,Equiobturado
II,31,Mesial,Distal,Oclusal,ninguna,ninguna,71.75,limpia,Estratificacion,Bulk,2.0,431.12,66.5,-0.09,Subobturado
III,11,Distal,Lingual,ninguna,ninguna,ninguna,12.0,limpia,Bulk,Con fibra de vidrio,2.5,117.5,10.25,-0.01,Subobturado
II,32,Distal,Oclusal,ninguna,ninguna,ninguna,35.5,con_tejido,Estratificacion,Bulk,2.5,172.95,24.73,0.08,Equiobturado
II,18,Mesial,Distal,Oclusal,Bucal,ninguna,100.0,con_tejido,Bulk,Fluida,2.25,780.0,48.29,0.01,Equiobturado
II,2,Mesial,Distal,Oclusal,Lingual,ninguna,82.5,con_tejido,Estratificacion,Compuesta,2.5,730.0,23.9,0.17,Sobreobturado
II,20,Mesial,Oclusal,Lingual,ninguna,ninguna,42.0,limpia,Estratificacion,Compuesta,2.5,243.78,30.22,0.03,Equiobturado
V,8,Bucal,ninguna,ninguna,ninguna,ninguna,12.0,con_tejido,Bulk,Bulk,3.25,236.25,15.24,0.19,Sobreobturado
II,3,Mesial,Distal,Oclusal,Bucal,Lingual,125.25,limpia,Estratificacion,Con fibra de vidrio,2.5,1084.44,131.15,0.15,Sobreobturado
V,24,Lingual,ninguna,ninguna,ninguna,ninguna,14.0,con_tejido,Estratificacion,Con fibra de vidrio,3.5,268.75,14.66,0.12,Sobreobturado
II,14,Mesial,Distal,Oclusal,Bucal,ninguna,112.5,con_tejido,Estratificacion,Compuesta,3.5,930.0,97.89,-0.1,Subobturado
IV,23,Distal,Bucal,Lingual,ninguna,ninguna,24.75,limpia,Bulk,Bulk,1.75,154.88,13.75,0.02,Equiobturado
II,29,Mesial,Oclusal,ninguna,ninguna,ninguna,25.5,con_tejido,Estratificacion,Compuesta,2.75,94.4,14.22,0.07,Equiobturado
I,1,Lingual,ninguna,ninguna,ninguna,ninguna,2.0,limpia,Bulk,Bulk,3.0,95.0,11.15,0.1,Equiobturado
I,7,Lingual,ninguna,ninguna,ninguna,ninguna,4.0,con_tejido,Estratificacion,Con fibra de vidrio,1.75,86.25,8.0,0.18,Sobreobturado
I,13,Lingual,ninguna,ninguna,ninguna,ninguna,3.75,limpia,Estratificacion,Con fibra de vidrio,2.25,97.0,11.48,0.13,Sobreobturado
I,4,Oclusal,ninguna,ninguna,ninguna,ninguna,6.75,limpia,Estratificacion,Compuesta,1.5,90.25,12.63,0.07,Equiobturado
IV,11,Mesial,Bucal,Lingual,ninguna,ninguna,19.25,limpia,Estratificacion,Fluida,3.5,260.54,35.72,0.1,Equiobturado
II,12,Mesial,Distal,Oclusal,ninguna,ninguna,43.5,con_tejido,Bulk,Compuesta,1.25,161.29,18.22,0.12,Sobreobturado
II,16,Mesial,Oclusal,Bucal,ninguna,ninguna,58.75,limpia,Estratificacion,Compuesta,2.5,365.01,22.41,0.18,Sobreobturado
IV,26,Distal,Bucal,Lingual,ninguna,ninguna,27.25,con_tejido,Estratificacion,Bulk,2.0,181.08,20.69,0.15,Sobreobturado
V,19,Bucal,ninguna,ninguna,ninguna,ninguna,27.5,con_tejido,Estratificacion,Con fibra de vidrio,3.5,308.84,45.1,-0.12,Subobturado
II,14,Mesial,Oclusal,Lingual,ninguna,ninguna,47.0,con_tejido,Estratificacion,Compuesta,2.5,379.5,66.17,0.08,Equiobturado
II,18,Distal,Oclusal,Lingual,ninguna,ninguna,51.75,limpia,Estratificacion,Bulk,1.25,308.62,14.24,-0.07,Subobturado
V,17,Lingual,ninguna,ninguna,ninguna,ninguna,7.25,con_tejido,Estratificacion,Fluida,2.25,132.66,22.42,-0.12,Subobturado
VI,7,Incisal,ninguna,ninguna,ninguna,ninguna,14.0,con_tejido,Estratificacion,Bulk,2.25,151.14,14.58,-0.06,Subobturado
II,31,Mesial,Distal,Oclusal,Bucal,Lingual,139.75,con_tejido,Estratificacion,Compuesta,1.75,1073.89,100.05,-0.04,Subobturado
V,24,Lingual,ninguna,ninguna,ninguna,ninguna,17.25,con_tejido,Bulk,Con fibra de vidrio,3.75,311.41,36.22,0.04,Equiobturado
I,14,Oclusal,ninguna,ninguna,ninguna,ninguna,8.75,con_tejido,Estratificacion,Fluida,2.75,228.57,8.2,0.18,Sobreobturado
I,28,Oclusal,ninguna,ninguna,ninguna,ninguna,5.0,con_tejido,Estratificacion,Compuesta,3.0,142.0,5.79,0.15,Sobreobturado
III,9,Distal,Lingual,ninguna,ninguna,ninguna,14.0,con_tejido,Estratificacion,Compuesta,3.25,158.75,10.77,0.14,Sobreobturado
II,18,Mesial,Oclusal,ninguna,ninguna,ninguna,44.25,limpia,Bulk,Compuesta,3.25,280.25,49.17,0.11,Sobreobturado
II,13,Mesial,Distal,Oclusal,ninguna,ninguna,42.25,con_tejido,Bulk,Con fibra de vidrio,1.75,190.49,25.64,0.12,Sobreobturado
II,31,Distal,Oclusal,Bucal,ninguna,ninguna,51.0,limpia,Estratificacion,Compuesta,3.25,446.0,61.0,0.16,Sobreobturado
I,11,Oclusal,ninguna,ninguna,ninguna,ninguna,2.25,limpia,Bulk,Fluida,1.5,46.88,2.08,-0.17,Subobturado
II,28,Mesial,Oclusal,Bucal,ninguna,ninguna,32.0,con_tejido,Estratificacion,Con fibra de vidrio,2.5,185.38,27.23,-0.17,Subobturado
II,16,Distal,Oclusal,ninguna,ninguna,ninguna,52.25,limpia,Estratificacion,Fluida,3.25,249.09,21.3,0.12,Sobreobturado
V,19,Bucal,ninguna,ninguna,ninguna,ninguna,31.25,limpia,Bulk,Fluida,2.5,235.22,29.25,0.03,Equiobturado
III,11,Distal,Lingual,ninguna,ninguna,ninguna,8.75,con_tejido,Bulk,Bulk,3.25,115.44,3.74,0.14,Sobreobturado
I,13,Lingual,ninguna,ninguna,ninguna,ninguna,5.0,con_tejido,Bulk,Compuesta,2.75,130.75,13.58,0.04,Equiobturado
II,15,Mesial,Oclusal,Lingual,ninguna,ninguna,46.25,limpia,Bulk,Fluida,1.0,271.88,41.51,0.14,Sobreobturado
II,1,Distal,Oclusal,ninguna,ninguna,ninguna,45.25,limpia,Bulk,Con fibra de vidrio,2.75,211.42,7.49,-0.06,Subobturado
V,32,Bucal,ninguna,ninguna,ninguna,ninguna,8.5,limpia,Estratificacion,Bulk,2.0,126.56,12.05,-0.17,Subobturado
I,2,Bucal,ninguna,ninguna,ninguna,ninguna,9.75,con_tejido,Estratificacion,Bulk,3.75,314.29,30.08,0.17,Sobreobturado
I,2,Lingual,ninguna,ninguna,ninguna,ninguna,10.5,limpia,Estratificacion,Fluida,2.5,228.57,18.1,0.06,Equiobturado
II,16,Mesial,Oclusal,ninguna,ninguna,ninguna,50.5,con_tejido,Bulk,Bulk,3.25,243.6,26.55,-0.12,Subobturado
V,25,Lingual,ninguna,ninguna,ninguna,ninguna,13.5,con_tejido,Estratificacion,Bulk,2.5,199.69,20.62,0.13,Sobreobturado
I,2,Oclusal,ninguna,ninguna,ninguna,ninguna,8.75,limpia,Bulk,Con fibra de vidrio,3.5,284.82,47.1,0.12,Sobreobturado
I,23,Oclusal,ninguna,ninguna,ninguna,ninguna,5.75,con_tejido,Bulk,Fluida,1.25,99.38,8.39,-0.07,Subobturado
I,30,Bucal,ninguna,ninguna,ninguna,ninguna,15.25,limpia,Bulk,Bulk,2.25,260.71,8.94,-0.1,Subobturado
I,9,Lingual,ninguna,ninguna,ninguna,ninguna,5.75,limpia,Bulk,Compuesta,3.5,178.12,13.96,0.1,Equiobturado
I,31,Bucal,ninguna,ninguna,ninguna,ninguna,13.5,con_tejido,Estratificacion,Con fibra de vidrio,3.0,298.21,31.1,-0.07,Subobturado
V,11,Lingual,ninguna,ninguna,ninguna,ninguna,18.0,limpia,Estratificacion,Con fibra de vidrio,1.25,155.0,22.81,0.02,Equiobturado
II,2,Mesial,Distal,Oclusal,Lingual,ninguna,106.0,con_tejido,Bulk,Compuesta,2.25,804.0,81.54,0.12,Sobreobturado
I,10,Oclusal,ninguna,ninguna,ninguna,ninguna,5.0,limpia,Estratificacion,Compuesta,2.0,112.5,10.36,0.12,Sobreobturado
IV,27,Distal,Bucal,Lingual,ninguna,ninguna,8.75,limpia,Bulk,Fluida,3.0,189.54,31.67,0.19,Sobreobturado
I,9,Bucal,ninguna,ninguna,ninguna,ninguna,5.75,con_tejido,Bulk,Bulk,2.5,143.12,14.93,-0.18,Subobturado
V,16,Lingual,ninguna,ninguna,ninguna,ninguna,12.75,con_tejido,Bulk,Compuesta,1.75,144.84,17.21,0.02,Equiobturado
II,21,Distal,Oclusal,ninguna,ninguna,ninguna,25.25,limpia,Estratificacion,Fluida,3.75,126.57,20.56,0.05,Equiobturado
II,20,Distal,Oclusal,Lingual,ninguna,ninguna,26.25,limpia,Bulk,Con fibra de vidrio,1.5,78.8,9.5,0.17,Sobreobturado
I,23,Bucal,ninguna,ninguna,ninguna,ninguna,3.0,limpia,Bulk,Bulk,3.0,112.5,6.68,0.15,Sobreobturado
I,10,Lingual,ninguna,ninguna,ninguna,ninguna,4.5,limpia,Estratificacion,Bulk,1.75,95.0,15.93,-0.1,Subobturado
II,31,Distal,Oclusal,Bucal,ninguna,ninguna,71.5,con_tejido,Bulk,Bulk,1.75,412.75,18.97,-0.06,Subobturado
VI,26,Incisal,ninguna,ninguna,ninguna,ninguna,20.25,limpia,Estratificacion,Compuesta,1.75,153.53,6.54,0.09,Equiobturado
I,29,Lingual,ninguna,ninguna,ninguna,ninguna,3.75,con_tejido,Estratificacion,Con fibra de vidrio,3.25,142.0,12.71,0.18,Sobreobturado
I,3,Oclusal,ninguna,ninguna,ninguna,ninguna,3.25,limpia,Estratificacion,Compuesta,3.75,244.64,23.66,-0.06,Subobturado
II,3,Mesial,Distal,Oclusal,ninguna,ninguna,54.25,limpia,Estratificacion,Compuesta,2.75,422.38,47.05,-0.15,Subobturado
II,29,Mesial,Oclusal,Bucal,ninguna,ninguna,43.0,limpia,Bulk,Con fibra de vidrio,3.5,322.62,15.17,-0.16,Subobturado
I,28,Bucal,ninguna,ninguna,ninguna,ninguna,10.25,con_tejido,Estratificacion,Con fibra de vidrio,4.0,234.25,10.08,0.12,Sobreobturado
II,19,Distal,Oclusal,Lingual,ninguna,ninguna,60.5,limpia,Bulk,Fluida,1.75,374.25,32.19,0.04,Equiobturado
II,15,Distal,Oclusal,ninguna,ninguna,ninguna,53.5,con_tejido,Bulk,Fluida,3.5,315.5,44.72,-0.09,Subobturado
V,23,Bucal,ninguna,ninguna,ninguna,ninguna,10.25,limpia,Bulk,Con fibra de vidrio,1.25,92.03,5.49,-0.08,Subobturado
II,2,Mesial,Distal,Oclusal,Bucal,ninguna,99.5,limpia,Bulk,Con fibra de vidrio,3.25,858.0,131.3,0.02,Equiobturado
II,3,Mesial,Distal,Oclusal,Bucal,ninguna,103.0,con_tejido,Bulk,Con fibra de vidrio,2.75,832.0,27.01,0.19,Sobreobturado
II,31,Mesial,Oclusal,Lingual,ninguna,ninguna,52.5,limpia,Estratificacion,Con fibra de vidrio,1.25,311.25,47.12,0.13,Sobreobturado
V,15,Lingual,ninguna,ninguna,ninguna,ninguna,19.0,limpia,Estratificacion,Con fibra de vidrio,3.75,304.29,24.98,0.18,Sobreobturado
